symbol,name,sector,previous_close,current_price,change_percent,volume,market_cap_b
NVDA,NVIDIA Corporation,Technology,118.50,132.72,12.00,78200000,3250.5
PLTR,Palantir Technologies Inc.,Technology,28.40,31.24,10.00,45100000,69.5
AMD,Advanced Micro Devices Inc.,Technology,142.10,152.05,7.00,31200000,246.0
TSLA,Tesla Inc.,Consumer Cyclical,215.00,227.90,6.00,65400000,725.2
AAPL,Apple Inc.,Technology,218.00,226.72,4.00,52100000,3460.0
AMZN,Amazon.com Inc.,Consumer Cyclical,182.50,188.89,3.50,38700000,1970.0
MSFT,Microsoft Corporation,Technology,420.00,432.60,3.00,22400000,3210.0
GOOGL,Alphabet Inc.,Communication Services,165.00,169.13,2.50,19500000,2090.0
META,Meta Platforms Inc.,Communication Services,510.00,520.20,2.00,14300000,1320.0
JPM,JPMorgan Chase & Co.,Financial Services,205.00,206.02,0.50,8900000,590.0
PG,Procter & Gamble Co.,Consumer Defensive,172.00,171.14,-0.50,6100000,405.0
KO,Coca-Cola Company,Consumer Defensive,68.50,67.47,-1.50,11200000,290.0
XOM,Exxon Mobil Corporation,Energy,115.00,111.55,-3.00,14800000,455.0
DIS,Walt Disney Co.,Communication Services,92.00,88.32,-4.00,12100000,161.0
BA,Boeing Company,Industrials,162.00,152.28,-6.00,9800000,93.5
INTC,Intel Corporation,Technology,21.50,19.78,-8.00,62300000,85.0
NFE,New Fortress Energy Inc.,Energy,16.48,13.22,-19.78,14200000,3.1
SIMO,Silicon Motion Technology Corp,Technology,284.47,248.00,-12.82,2300000,8.2
GLW,Corning Incorporated,Technology,166.40,145.95,-12.29,7400000,124.0
RUM,RUM Group Inc.,Communication Services,7.17,8.30,15.74,9500000,4.2
S,SentinelOne Inc.,Technology,19.75,22.84,15.62,18900000,7.1
SAIL,SailPoint Inc.,Technology,17.24,19.93,15.60,8200000,5.8
